Gene,LogFC,Adjusted_PValue,Regulation
ROMO1,1.8340335,3.619926265437912e-13,Upregulated
TUBB,1.4168954,3.7088918264766844e-13,Upregulated
NDUFS6,1.4189415,4.138561823286812e-13,Upregulated
PSMD8,1.2077382,4.142496761911668e-13,Upregulated
HIF1A,1.7731901,5.70943393279163e-13,Upregulated
PSMB6,1.4954537,5.70943393279163e-13,Upregulated
ATP5MD,1.2907989,6.195938253471357e-13,Upregulated
RAN,1.0376167,8.651660741832691e-13,Upregulated
NDUFB8,1.1822602,1.0423297276117086e-12,Upregulated
GSTO1,1.6238009,1.4185819971937891e-12,Upregulated
NFKB1,1.9108747,2.400545011402367e-12,Upregulated
EIF2S2,1.2048532,2.4031974401925826e-12,Upregulated
GPR183,1.4807465,2.748455232437779e-12,Upregulated
CDC37,1.3486512,2.7680005025438367e-12,Upregulated
NME1,2.2867057,4.7859826544182266e-12,Upregulated
LMAN1,1.5583838,5.485743335183282e-12,Upregulated
CANX,1.5629752,5.6330146230157814e-12,Upregulated
ZFP36L2,-1.5824116,5.733994265532473e-12,Downregulated
HSPH1,2.4086015,5.80865012068424e-12,Upregulated
STAT1,1.5453304,7.645154322851532e-12,Upregulated
GIMAP7,-1.3077664,8.096291219215077e-12,Downregulated
HCST,1.3890414,9.839218495974695e-12,Upregulated
PLAAT4,-1.8731807,1.694188603234484e-11,Downregulated
PSMA5,1.4124051,1.7029708879669605e-11,Upregulated
CCT5,1.5230322,1.8763860933004772e-11,Upregulated
PSMD7,1.4861524,1.8763860933004772e-11,Upregulated
CCT3,1.3624518,2.0682003723270552e-11,Upregulated
PFDN2,1.4962521,2.1168689039744583e-11,Upregulated
CD69,1.3585756,3.4768133019871096e-11,Upregulated
DNAJB11,2.3214352,3.634363631932727e-11,Upregulated
CCT6A,1.4242951,4.100203464544707e-11,Upregulated
TUBA1C,2.120534,5.247142748823912e-11,Upregulated
CCT2,1.5131689,5.736250508149891e-11,Upregulated
TRMT112,1.1566155,7.246377885158929e-11,Upregulated
IL2RG,1.0777812,7.503970187417501e-11,Upregulated
PSMA1,1.2828182,8.153418458265223e-11,Upregulated
ABCF1,1.4051217,8.273018648387654e-11,Upregulated
RGCC,1.603651,8.938266798142593e-11,Upregulated
ARPC1B,1.0869592,9.682732525519122e-11,Upregulated
PSMB3,1.2256044,1.0751619621329893e-10,Upregulated
PLP2,1.3952581,1.496376584445498e-10,Upregulated
CCND2,1.5243553,1.740647493671622e-10,Upregulated
CDV3,1.1182745,2.0778756468729075e-10,Upregulated
UBL5,1.0470526,2.438549035265063e-10,Upregulated
SLC25A5,1.3139045,2.46486131149279e-10,Upregulated
BZW1,1.2565473,3.2180064506129775e-10,Upregulated
RBM8A,1.1494153,3.396076241720651e-10,Upregulated
ATP5MC3,1.1815281,3.526415482749941e-10,Upregulated
BANF1,1.4683115,3.635528812624441e-10,Upregulated
PSMA3,1.3682227,3.6616624600063724e-10,Upregulated
TMEM123,-1.0716287,3.7581170256729104e-10,Downregulated
EIF5B,1.242691,3.923296697048918e-10,Upregulated
CRELD2,2.3894238,3.9551919101530015e-10,Upregulated
PSMB9,1.0384479,4.43095209392105e-10,Upregulated
