Gene,LogFC,Adjusted_PValue,Regulation
PRDX4,2.7712038,6.561088902052272e-75,Upregulated
PRMT1,1.560222,1.0828532348060458e-74,Upregulated
CHMP5,1.9730117,1.2611439215421046e-74,Upregulated
EHD4,2.7167614,1.399763093832291e-74,Upregulated
MAP4,1.7346567,9.330746754267356e-74,Upregulated
ARID5A,1.6964018,9.330746754267356e-74,Upregulated
PFDN2,1.4905914,9.49252536860421e-74,Upregulated
COX6C,1.1773005,1.3628053699344407e-73,Upregulated
RAP1A,1.4181345,1.4574796868053466e-73,Upregulated
XCL2,5.0973954,1.5843540538234754e-73,Upregulated
UQCRQ,1.3838348,6.916984525064038e-73,Upregulated
ANP32E,1.4300401,1.0343420680142256e-72,Upregulated
TCP1,1.8847861,1.2112898966649172e-72,Upregulated
RSL1D1,1.5210959,1.3122438986666812e-72,Upregulated
SNRPF,1.4969398,3.503076678754727e-72,Upregulated
CYTIP,1.3686292,3.772851919767299e-72,Upregulated
HNRNPF,1.3205674,5.797282792200482e-72,Upregulated
COPE,1.2913691,1.9940468802040056e-71,Upregulated
FGFBP2,-2.5015821,2.5201725955206503e-71,Downregulated
MLEC,1.6142703,7.573329574928614e-71,Upregulated
HMGCS1,3.2662466,8.628707495003564e-71,Upregulated
CMTM6,1.9419591,8.876784962463122e-71,Upregulated
PTGES3,1.1647841,1.08470095168121e-70,Upregulated
SNU13,1.3035438,1.72780853427909e-70,Upregulated
CISH,2.8392088,2.0676266233922734e-70,Upregulated
BUD31,1.5260793,2.4865365227564534e-70,Upregulated
CISD3,2.055971,2.622640549838988e-70,Upregulated
XRCC5,1.178385,2.882795870649436e-70,Upregulated
LCP2,1.5669858,7.360409273154453e-70,Upregulated
SRP54,1.906099,1.1963016292275624e-69,Upregulated
YWHAE,1.7836889,2.6521997090674984e-69,Upregulated
HNRNPDL,1.0649393,3.0236276203389385e-69,Upregulated
PTPN1,1.6184303,7.395244539673737e-69,Upregulated
COX7A2,1.0867289,7.598897498144832e-69,Upregulated
ARF4,1.8589758,1.3116358768494853e-68,Upregulated
NDFIP2,4.3135314,2.4475301711761828e-68,Upregulated
FURIN,2.052084,2.6365869522138174e-68,Upregulated
SSB,1.3224618,3.1091759567882508e-68,Upregulated
RAB11FIP1,2.4050734,6.11515889358951e-68,Upregulated
VCP,1.5742539,2.873581687539639e-67,Upregulated
FDPS,1.5056132,3.1044478941315717e-67,Upregulated
PSMC1,1.5132259,3.146874488607457e-67,Upregulated
PSMC3,1.5972452,6.99446562518391e-67,Upregulated
PIK3R1,-1.7229868,9.330382070962495e-67,Downregulated
EPRS,1.5297322,1.2608889000004106e-66,Upregulated
GBP4,2.034552,1.72498809867762e-66,Upregulated
SEM1,1.367353,1.7647998776643907e-66,Upregulated
SNX10,2.8999097,1.8090764923398598e-66,Upregulated
GNL3,2.241058,2.030598922041242e-66,Upregulated
HERPUD1,1.5429965,2.281387371730776e-66,Upregulated
PSMB1,1.1840636,3.041952816422961e-66,Upregulated
UFM1,1.6935111,3.659661031678749e-66,Upregulated
MTDH,1.142885,3.6943485929695727e-66,Upregulated
IL2RG,1.0933396,4.5642395834508693e-66,Upregulated
RPN2,1.4804294,5.600679846552533e-66,Upregulated
NOP58,1.519675,7.796139163362859e-66,Upregulated
YARS,1.6906838,9.901083627274205e-66,Upregulated
FDFT1,1.897685,1.4823331007451307e-65,Upregulated
HERC5,2.5429955,1.7707209358046643e-65,Upregulated
ABCF1,1.3364699,4.192424117431915e-65,Upregulated
GTF3C6,1.4962015,4.266961180544958e-65,Upregulated
NDUFA1,1.2180089,4.285702399865968e-65,Upregulated
DCTPP1,2.3791807,1.588267165745355e-64,Upregulated
SPPL2A,1.8625296,2.0373526793805098e-64,Upregulated
GPATCH4,2.266037,2.369095249576013e-64,Upregulated
SET,1.0612111,6.958000363962134e-64,Upregulated
LSM7,1.266321,1.6475513388449295e-63,Upregulated
FAM3C,2.5678558,2.338341338551761e-63,Upregulated
H2AFZ,1.2044647,4.1338056373069815e-63,Upregulated
PSMB2,1.527389,4.164928059617752e-63,Upregulated
KIF2A,1.2333825,4.5550999061754363e-63,Upregulated
NOP56,1.6611565,4.646683631471378e-63,Upregulated
RNF181,1.4088914,4.983482027864195e-63,Upregulated
NFKBIA,1.1271199,5.805805638144753e-63,Upregulated
GARS,2.3974419,7.779553047841158e-63,Upregulated
RNF213,1.1091317,8.77268680383785e-63,Upregulated
NDUFA12,1.3366692,1.5993924068925655e-62,Upregulated
PDIA4,2.142473,1.8271566017559645e-62,Upregulated
MRPS12,1.6820652,3.455618473974003e-62,Upregulated
ELOC,1.5472645,3.7990693544657486e-62,Upregulated
RAP1B,1.1192288,3.806502374624915e-62,Upregulated
NDFIP1,1.4798663,3.8642473190040865e-62,Upregulated
ARHGDIA,1.3211877,5.700342478078529e-62,Upregulated
RESF1,-1.4937156,1.5170454573083586e-61,Downregulated
SNRPA1,1.652537,2.630267764669475e-61,Upregulated
UBE2N,1.6299441,2.7570826682063203e-61,Upregulated
SNRPB2,1.2832451,3.895097721627994e-61,Upregulated
SP110,1.2905416,5.8043549265074074e-61,Upregulated
CTSC,1.3155344,6.280473080498279e-61,Upregulated
CRIP1,-1.0782713,8.380904246007986e-61,Downregulated
LARS,1.670859,1.0008620291311502e-60,Upregulated
NEAT1,1.0112262,1.817102677963515e-60,Upregulated
OAS1,2.9686067,3.322043782300867e-60,Upregulated
RHOA,1.1252598,3.6017386615502864e-60,Upregulated
DUSP5,4.8257236,9.706332191936363e-60,Upregulated
IL4I1,3.1712587,1.304829209664456e-59,Upregulated
NDUFB8,1.162202,1.822806296352511e-59,Upregulated
GADD45GIP1,1.2793161,2.276151811294746e-59,Upregulated
ZFP36L2,-1.3229957,3.037795000478535e-59,Downregulated
CHORDC1,2.151424,3.766532507954645e-59,Upregulated
GTPBP4,1.8917269,1.9525960960198324e-58,Upregulated
ADAR,1.1982425,2.5676639492208793e-58,Upregulated
LMAN2,1.2803147,2.8395836545501485e-58,Upregulated
PARP14,1.4684504,3.5967237583452174e-58,Upregulated
SLC7A5,1.7823888,3.658604098776676e-58,Upregulated
ZNF267,2.10739,4.22598312163924e-58,Upregulated
PSMC4,1.5669352,7.07461349249401e-58,Upregulated
FUNDC2,1.6495628,7.762812945682057e-58,Upregulated
ABRACL,1.4030651,1.107072605694406e-57,Upregulated
TXNDC17,1.6970588,2.0783646188276744e-57,Upregulated
PSMD12,1.8387278,2.5931235286699315e-57,Upregulated
ADRM1,1.4450629,2.9534170748167394e-57,Upregulated
REEP5,1.2549549,3.2791052354826093e-57,Upregulated
RHEB,1.6766661,3.6832305063956736e-57,Upregulated
PHPT1,1.9457297,8.26626336188302e-57,Upregulated
DNAJC3,1.5872192,1.3042604304933275e-56,Upregulated
DDIT4,1.5356505,3.859488939051486e-56,Upregulated
MAGOH,1.269451,7.462453474776001e-56,Upregulated
IKZF3,1.2091762,9.797137359824595e-56,Upregulated
JPT1,1.6071872,1.0817029474963783e-55,Upregulated
NCS1,3.084787,1.1203358777405901e-55,Upregulated
PSMA1,1.2184985,1.2491518657301861e-55,Upregulated
ATP6V0B,1.2177856,1.3586466728381122e-55,Upregulated
ORMDL2,1.8988172,1.726877926389678e-55,Upregulated
