Gene,LogFC,Adjusted_PValue,Regulation
LAMTOR5,1.3705856,1.0790963870634202e-13,Upregulated
SOCS3,-1.5881249,1.113835235397385e-13,Downregulated
TMEM123,-1.1172268,1.694685568944787e-13,Downregulated
NAMPT,1.7549117,1.7814633260247608e-13,Upregulated
PSMD2,1.6001279,2.255224598647236e-13,Upregulated
IL2RB,1.4994011,2.8104989379470227e-13,Upregulated
TRMT112,1.1867257,2.9558499763109013e-13,Upregulated
IL2RA,1.261827,5.058345489020393e-13,Upregulated
VDAC1,1.4304432,6.562687616131777e-13,Upregulated
TMEM258,1.2186401,8.831942155488397e-13,Upregulated
MRPL52,1.5353916,1.0523134139852393e-12,Upregulated
SRM,1.5602962,1.6515555658062617e-12,Upregulated
BCL11B,-1.0939037,1.6923660702419036e-12,Downregulated
NDUFC2,1.1853691,1.7093859487285288e-12,Upregulated
GBP2,1.2958755,2.0744675397141043e-12,Upregulated
IDI1,1.7115927,2.0917483535149724e-12,Upregulated
RAB8B,2.1631756,2.2206140140258793e-12,Upregulated
SAT1,1.2922578,2.57921152150576e-12,Upregulated
HERPUD1,1.5284692,3.2266983877844813e-12,Upregulated
NHP2,1.4216726,3.487704211309541e-12,Upregulated
RELB,2.0275187,3.694577602453399e-12,Upregulated
PMAIP1,2.376209,4.080352177355499e-12,Upregulated
SYNCRIP,1.5022465,4.383433592403421e-12,Upregulated
RAP1A,1.2363605,5.028178111163069e-12,Upregulated
NDUFAB1,1.3506438,5.180367091222042e-12,Upregulated
SSBP1,1.1102818,5.180367091222042e-12,Upregulated
SLC25A5,1.2756121,5.346305237819016e-12,Upregulated
PNP,2.586,5.377321217672384e-12,Upregulated
YPEL3,-1.5859038,5.426560733635738e-12,Downregulated
LGALS1,1.7090259,5.665808652025108e-12,Upregulated
SPCS3,1.4337134,5.694082763247805e-12,Upregulated
MBP,-1.5552238,6.326131276091427e-12,Downregulated
PRDX6,1.2679298,7.05016774561139e-12,Upregulated
TARS,2.2225938,7.650839935689528e-12,Upregulated
NDUFA1,1.137588,8.152615119093147e-12,Upregulated
RANBP1,1.387779,8.377655308531843e-12,Upregulated
DNAJC3,1.9863672,9.636032942496059e-12,Upregulated
SARS,1.4969809,9.716142801037473e-12,Upregulated
PRDX4,2.5995932,1.0461810418329815e-11,Upregulated
PSMD13,1.4563913,1.0715398903762326e-11,Upregulated
CXCR4,-1.2243476,1.0902511051131188e-11,Downregulated
ADRM1,1.4247117,1.123925653541307e-11,Upregulated
PTPN6,2.090634,1.1407469824789867e-11,Upregulated
